Store_ID,Store_Name,License_Number,Address,Store_Type_ID,Zip_Code,Latitude,Longitude
2425,B.P.  GAS STATION,1495896,4359 N PULASKI RD,2,60641,41.96088251,-87.72767924
2426,SAGE ROOM,2781001,67 E CERMAK RD,1,60616,41.85275162,-87.62442588
2427,SUN SUB AND CHICKEN,2094313,321 N LARAMIE AVE,1,60644,41.88633174,-87.75513777
2428,DICK'S LAST RESORT,1869463,315 N DEARBORN ST,1,60654,41.88790616,-87.6293947
2429,SUN FOOD MART,1738266,3601 W CERMAK RD,2,60623,41.85155346,-87.71505929
2430,THE PIGGERY,2359057,1619-1625 W IRVING PARK RD,1,60613,41.95416912,-87.66987318
2431,PLUM MARKET/ INTELLIGENTSIA COFFEE,2163618,1233 N WELLS ST,2,60610,41.90489682,-87.63436942
2432,EXPRESS GRILL INC,1620903,1260 S UNION AVE,1,60607,41.86544307,-87.64520381
2433,PRIME & PROVISIONS,2333469,222 N LA SALLE ST,1,60601,41.8863516,-87.63261395
2434,CALUMET FISHERIES INC,3543,3259 E 95TH ST,1,60617,41.72273269,-87.54453083
2435,Guerreros Pizza 2,2797209,5337 W BELMONT AVE,1,60641,41.93853943,-87.7606308
